model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.85 [0.766-0.91],0.03 [0.017-0.047],0.05 [0.027-0.099],19221 [16275-22784],10,1951.81535985587,80.7453000000001,0,-9869.1825,199 [171-232]
Phi(~Time)p(~wind)pent(~Time)N(~1),0.87 [0.829-0.896],0.03 [0.021-0.034],0.05 [0.031-0.065],19431 [16710-22663],7,1951.82031744285,80.7502575869739,0,-9863.1317,190 [164-221]
Phi(~1)p(~sundur + wind)pent(~Time)N(~1),0.87 [0.846-0.889],0.03 [0.026-0.04],0.06 [0.054-0.073],20860 [17974-24275],7,1951.95721744285,80.8871575869739,0,-9862.9947,194 [166-226]
Phi(~1)p(~temp)pent(~Time + I(Time^2))N(~1),0.86 [0.834-0.877],0.03 [0.027-0.042],0.05 [0.036-0.068],20847 [17933-24301],7,1953.13691744285,82.066857586974,0,-9861.8151,196 [168-228]
Phi(~Time)p(~1)pent(~Time)N(~1),0.87 [0.83-0.898],0.03 [0.021-0.033],0.04 [0.03-0.066],19284 [16565-22517],6,1953.37954803216,82.3094881762916,0,-9859.5606,189 [163-220]
Phi(~Time)p(~Time)pent(~Time)N(~1),0.86 [0.819-0.9],0.03 [0.019-0.039],0.04 [0.026-0.07],19433 [16570-22867],7,1955.27911744285,84.2090575869741,0,-9859.6729,196 [167-230]
Phi(~1)p(~sundur)pent(~Time)N(~1),0.87 [0.845-0.888],0.03 [0.026-0.04],0.06 [0.055-0.073],20715 [17852-24102],6,1956.77734803216,85.7072881762915,0,-9856.1628,205 [176-238]
Phi(~Time + I(Time^2))p(~1)pent(~1)N(~1),0.87 [0.826-0.905],0.02 [0.016-0.026],0.02 [0.007-0.051],18362 [15447-21919],6,1959.19344803216,88.1233881762914,0,-9853.7467,190 [164-221]
Phi(~Time + I(Time^2))p(~Time)pent(~1)N(~1),0.86 [0.809-0.903],0.02 [0.016-0.032],0.01 [0.002-0.06],19030 [15784-23053],7,1960.12801744285,89.057957586974,0,-9854.824,187 [161-217]
Phi(~Time + I(Time^2))p(~wind)pent(~1)N(~1),0.87 [0.825-0.907],0.02 [0.017-0.026],0.02 [0.007-0.051],18458 [15552-21998],7,1960.37091744285,89.300857586974,0,-9854.5811,204 [176-238]
Phi(~Time)p(~wind)pent(~1)N(~1),0.88 [0.845-0.909],0.02 [0.017-0.026],0.02 [0.009-0.05],18145 [15309-21595],6,1963.05014803216,91.9800881762915,0,-9849.89,190 [163-221]
Phi(~Time)p(~1)pent(~1)N(~1),0.88 [0.849-0.912],0.02 [0.016-0.026],0.02 [0.006-0.054],17825 [14976-21309],5,1963.24728071066,92.1772208547889,0,-9847.6827,189 [162-220]
Phi(~Time)p(~Time)pent(~1)N(~1),0.88 [0.833-0.911],0.02 [0.016-0.032],0.01 [0.001-0.083],18277 [15251-22005],6,1964.30014803216,93.2300881762915,0,-9848.64,199 [172-232]
Phi(~1)p(~Time)pent(~Time + I(Time^2))N(~1),0.88 [0.845-0.906],0.03 [0.025-0.044],0.07 [0.054-0.085],18697 [16128-21741],7,1971.67701744285,100.606957586974,0,-9843.275,190 [164-221]
Phi(~1)p(~temp + wind)pent(~Time)N(~1),0.88 [0.859-0.902],0.03 [0.023-0.035],0.05 [0.037-0.062],22198 [19121-25836],7,1972.58081744285,101.510757586974,0,-9842.3712,192 [165-224]
Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),0.94 [0.929-0.941],0.02 [0.016-0.022],0 [0-0],21493 [18491-25048],7,1975.48611744285,104.416057586974,0,-9839.4659,208 [178-242]
Phi(~1)p(~wind)pent(~Time + I(Time^2))N(~1),0.85 [0.827-0.872],0.04 [0.029-0.045],0.06 [0.048-0.072],20475 [17604-23881],7,1978.36421744285,107.294157586974,0,-9836.5878,190 [163-221]
Phi(~1)p(~1)pent(~Time + I(Time^2))N(~1),0.85 [0.825-0.87],0.04 [0.03-0.045],0.06 [0.049-0.072],20295 [17455-23664],6,1979.35734803216,108.287288176291,0,-9833.5828,188 [162-219]
Phi(~1)p(~temp)pent(~Time)N(~1),0.88 [0.856-0.899],0.03 [0.023-0.036],0.05 [0.041-0.064],21921 [18887-25507],6,1979.99254803216,108.922488176292,0,-9832.9476,203 [175-237]
Phi(~1)p(~Time)pent(~Time)N(~1),0.9 [0.861-0.922],0.03 [0.021-0.039],0.07 [0.053-0.084],19722 [17003-22939],6,1999.42834803216,128.358288176292,0,-9813.5118,192 [165-224]
Phi(~1)p(~wind)pent(~Time)N(~1),0.87 [0.848-0.89],0.03 [0.025-0.039],0.06 [0.049-0.069],21533 [18550-25059],6,2000.44824803216,129.378188176292,0,-9812.4919,190 [163-222]
Phi(~1)p(~temp + sundur)pent(~1)N(~1),0.94 [0.932-0.944],0.02 [0.015-0.021],0 [0-1],21009 [18085-24471],6,2000.71354803216,129.643488176292,0,-9812.2265,183 [158-213]
Phi(~1)p(~1)pent(~Time)N(~1),0.87 [0.847-0.889],0.03 [0.026-0.039],0.06 [0.05-0.07],21365 [18409-24860],5,2003.91698071066,132.846920854789,0,-9807.013,200 [169-239]
Phi(~1)p(~temp + wind)pent(~1)N(~1),0.93 [0.926-0.937],0.02 [0.016-0.022],0 [0-0],22044 [18969-25684],6,2013.82564803216,142.755588176291,0,-9799.1145,192 [164-226]
Phi(~1)p(~Time)pent(~1)N(~1),0.93 [0.897-0.958],0.03 [0.024-0.038],0.08 [0.079-0.083],26811 [22973-31358],5,2031.47658071066,160.406520854789,0,-9779.4534,222 [186-266]
Phi(~1)p(~temp)pent(~1)N(~1),0.93 [0.929-0.94],0.02 [0.016-0.022],0 [0-1],21620 [18614-25176],5,2031.80968071066,160.739620854789,0,-9779.1202,215 [179-259]
Phi(~1)p(~sundur + wind)pent(~1)N(~1),0.95 [0.939-0.951],0.02 [0.015-0.021],0 [0-0],20111 [17324-23413],6,2090.19574803216,219.125688176291,0,-9722.7444,188 [160-223]
Phi(~1)p(~sundur)pent(~1)N(~1),0.95 [0.942-0.953],0.02 [0.015-0.02],0 [0-0],19812 [17073-23055],5,2103.91518071066,232.845120854789,0,-9707.0148,201 [173-234]
Phi(~1)p(~wind)pent(~1)N(~1),0.94 [0.935-0.946],0.02 [0.015-0.021],0 [0-1],20790 [17913-24194],5,2109.09818071066,238.028120854789,0,-9701.8318,191 [164-222]
Phi(~1)p(~1)pent(~1)N(~1),0.94 [0.938-0.948],0.02 [0.015-0.021],0 [0-1],20474 [17649-23816],4,2121.39901331924,250.328953463368,0,-9687.5225,193 [166-225]
